CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Riesgo
0.3860285663207864,1.1776273717878945,0.2293417538356933,0.3877412311205315,-0.35461703223111307,0.873071754594268,0.014260550657492911,0.6955410203310872,0.5821972406430216,-0.5276435803755962,-0.016947372966875967,-0.6510016945929807,Alto
-0.06750208638882686,0.8659648020194008,-0.10384006430443606,0.04800175183493423,-0.6775604716608599,1.334556963615786,-0.4635967860657993,0.30799809628197033,-0.1497042680026272,-0.5618070015993668,-0.08674083807645504,-0.73131371209388,Moderado
0.08367479784771102,1.3701248413507874,-0.1571491552068568,-0.011732662105390573,-0.5340300541365279,1.2015866491519587,0.037015661930030634,0.2963426699947788,0.10250503565229231,-0.7212363006436301,0.27967485374883616,-0.66989863988731,Alto
0.08367479784771102,1.250959741145187,-0.13049460975564656,0.021867945736042126,-0.3238605141901848,1.0138638522618497,0.21905655211033243,0.3808445105769171,0.4214756255688082,-0.8237265643149423,0.6286421792967327,-0.5791435736711236,Alto
-0.36985585486190226,0.7742993403227851,-0.49033097334698617,-0.39627295184623146,-0.5340300541365279,1.4557946032739812,0.08252588447510609,0.10694199282791719,0.19152008400108744,-0.8009509501657619,0.6053776909268731,-0.57392204931348,Alto
-0.6722096233349778,0.4305538589604761,-0.7302218824078793,-0.7173454267754773,-0.7493256804230258,1.9720322947217808,-0.3725763409756484,-0.17570209463647632,-0.20657499333657967,-0.8009509501657619,0.5821132025570134,-0.5838678099947057,Moderado
-0.6722096233349778,0.3755545819425067,-0.8768218823895363,-0.9413494790516953,-0.887730011607203,2.4608937449564396,-0.8049234551538652,-0.3505334889443486,-0.7406652834293505,-0.7895631430911715,0.4425262723378544,-0.6447855941672146,Moderado
-0.8233865075715155,0.1509742007857981,-0.9168037005663517,-1.0085506947345606,-0.887730011607203,2.425695720539544,-0.8276785664264029,-0.3505334889443486,-0.7480832041250833,-0.8578899855387131,0.6286421792967327,-0.6201698364811804,Moderado
-0.8989749496897845,-0.04152326877709495,-1.0500764278224035,-1.2437549496245897,-0.9748734793898332,2.91846806237608,-1.1917603467870066,-0.5166233135368272,-1.0200736296352906,-0.8578899855387131,0.6111938130193381,-0.6335966134008353,Moderado
-1.125740276044591,-0.4265182079028811,-1.1300400641760346,-1.422958191445564,-0.2828518234689471,3.411240404212616,-0.07675989443265799,-0.63609143298054,-1.3143178172326968,-0.9034412138370739,0.6402744234816627,-0.6661689796318502,Alto
